Date,Close/Last,Volume,Open,High,Low
12/8/2023,120.59,3930961,119.10,120.82,118.98
12/7/2023,119.48,4042047,119.50,120.02,118.17
12/6/2023,119.81,3163754,121.08,122.58,119.70
12/5/2023,120.23,2943496,121.01,121.18,119.99
12/4/2023,121.53,3788738,121.81,122.41,121.16
12/1/2023,122.50,4524030,121.70,123.25,121.47
11/30/2023,121.80,8120186,119.05,121.84,118.90
11/29/2023,118.86,3027147,119.52,119.70,118.45
11/28/2023,118.85,3494079,119.97,120.11,118.56
11/27/2023,119.97,3179905,119.70,120.32,119.32
11/24/2023,119.97,1581783,119.98,120.35,119.68
11/22/2023,119.60,3012034,119.90,120.49,119.36
11/21/2023,119.89,2798121,119.80,120.25,119.04
11/20/2023,120.07,4142736,119.93,120.74,119.64
11/17/2023,119.93,4139400,119.33,120.08,118.94
11/16/2023,118.94,4648899,116.59,118.96,116.31
11/15/2023,116.30,4186227,116.96,117.50,115.72
11/14/2023,117.25,4794556,116.50,117.56,115.57
11/13/2023,115.52,4592090,115.14,116.56,114.71
11/10/2023,115.27,3497987,113.73,115.56,113.19
11/9/2023,113.09,4618390,114.35,114.77,112.93
11/8/2023,113.85,4840493,112.20,114.05,111.99
11/7/2023,111.80,4180014,111.36,112.93,110.86
11/6/2023,111.78,4893690,109.29,111.88,108.54
11/3/2023,108.92,5540067,108.55,109.45,108.09
11/2/2023,107.78,7500732,108.88,109.23,107.36
11/1/2023,107.25,10138750,108.30,108.33,105.83
10/31/2023,108.63,5067432,109.51,109.75,108.09
10/30/2023,109.81,4478352,107.52,110.48,107.42
10/27/2023,106.35,5329012,109.24,109.84,105.73
10/26/2023,108.80,7771894,111.77,112.32,106.97
10/25/2023,111.20,6563612,114.33,114.33,111.09
10/24/2023,113.62,12692840,111.05,114.89,108.32
10/23/2023,106.69,5826161,106.48,108.30,106.20
10/20/2023,106.08,7753159,106.70,107.24,105.53
10/19/2023,106.95,4018436,107.67,109.10,106.67
10/18/2023,107.57,4852691,109.02,109.58,107.41
10/17/2023,110.02,3923916,108.75,110.69,108.06
10/16/2023,109.14,4482796,109.89,110.92,107.99
10/13/2023,109.38,3655331,111.30,111.47,108.66
10/12/2023,111.33,3082047,113.50,113.74,110.76
10/11/2023,113.26,2857603,112.00,113.40,111.81
10/10/2023,111.48,4554723,111.21,112.99,110.85
10/9/2023,110.26,4324409,111.01,111.14,109.54
10/6/2023,111.47,4217209,108.35,111.90,107.95
10/5/2023,108.72,3846616,108.37,109.15,107.18
10/4/2023,108.85,3891936,107.97,109.21,107.36
10/3/2023,107.76,6883407,108.31,109.99,107.04
10/2/2023,108.79,4301080,110.45,111.20,108.10
9/29/2023,110.55,3929920,112.63,112.75,109.91
9/28/2023,112.34,4404312,111.06,112.99,110.83
9/27/2023,110.89,4718754,110.63,111.61,110.15
9/26/2023,109.93,4806131,111.00,111.94,109.75
9/25/2023,111.72,3783981,110.72,111.96,110.63
9/22/2023,111.25,4988319,112.90,113.20,111.07
9/21/2023,112.99,4598076,113.95,114.34,112.06
9/20/2023,114.85,4099397,116.53,117.67,114.82
9/19/2023,116.21,3098646,116.02,116.68,115.22
9/18/2023,116.57,3751814,115.78,117.43,114.92
9/15/2023,115.49,6733494,115.42,115.91,114.20
9/14/2023,115.65,5297480,114.37,117.21,114.32
9/13/2023,113.60,2800154,114.69,115.36,112.64
9/12/2023,115.00,4210125,114.25,116.82,114.00
9/11/2023,114.26,4207939,112.25,114.30,112.12
9/8/2023,111.72,2531102,111.50,112.03,111.22
9/7/2023,111.79,3303340,112.22,113.15,111.41
9/6/2023,112.68,4004815,112.85,114.07,111.93
9/5/2023,112.88,3516798,113.69,114.19,112.31
9/1/2023,114.24,3539620,115.02,115.46,113.53
8/31/2023,114.46,4165040,114.58,114.94,113.81
